"FONDSID";"FST_FONDSTYPE_NR";"VAL_VALUTACODE";"FONDSNAAM";"NAAM_KORT";"SYMBOOL";"SYMBOOL_LONG";"CFI_CODE";"ISIN";"RECONCILIATIEISIN";"TICKER";"SYMBOLINDEX";"CUISP";"RIC";"BLOOMBERG";"MIC";"EXCANGE_SEGMENT";"EOD_DATETIME";"EXCANGE_NAME";"EXCANGE_TIMEZONE"
"3833";"1000";"EUR";"TOP 5 index";"TOP 5 index";"TOP5";"TOP5";"";"";"";"99200";"";"";"";"";"XEUE";"Euronext Amsterdam Options";"7-12-2021 17:30:00";"Euronext Amsterdam options";"W. Europe Standard Time"
"3834";"1050";"EUR";"Dollar/Euro";"Dollar/Euro";"DEX";"DEX";"";"";"";"99201";"";"";"";"";"XEUE";"Euronext Amsterdam Options";"7-12-2021 17:30:00";"Euronext Amsterdam options";"W. Europe Standard Time"
"1030472";"1000";"EUR";"ODAX options";"ODAX options";"ODAX";"ODAX";"";"";"";"";"";"";"";"";"XEUR";"Eurex Indices";"7-12-2021 17:30:00";"Eurex";"W. Europe Standard Time"
"1030473";"1000";"EUR";"OESX options";"OESX options";"OESX";"OESX";"";"";"";"";"";"";"";"";"XEUR";"Eurex Indices";"7-12-2021 17:30:00";"Eurex";"W. Europe Standard Time"
"2290679";"1000";"EUR";"RNO5L";"RNO5L";"RNO5L";"RNO5L";"";"QS0011249784";"";"RNO5L";"";"";"";"";"XPAR";"Euronext Paris";"7-12-2021 17:40:00";"Euronext Paris";"W. Europe Standard Time"
"2290671";"1000";"EUR";"CRD3L Index";"CRD3L";"CRD3L";"CRD3L";"";"QS0011243936";"";"CRD3L";"";"";"";"";"XPAR";"Euronext Paris";"7-12-2021 17:40:00";"Euronext Paris";"W. Europe Standard Time"
"2290672";"1000";"EUR";"CAC 40 X 12 LEV ";"CAC 40 X 12 LEV ";"CA12L";"CA12L";"";"QS0011249693";"";"CA12L";"";"";"";"";"XPAR";"Euronext Paris";"7-12-2021 17:40:00";"Euronext Paris";"W. Europe Standard Time"
"2290673";"1000";"EUR";"CAC 40 X 12 SH";"CA12S";"CA12S";"CA12S";"";"QS0011249701";"";"CA12S";"";"";"";"";"XPAR";"Euronext Paris";"7-12-2021 17:40:00";"Euronext Paris";"W. Europe Standard Time"
"2290674";"1000";"EUR";"CS5L Index";"CS5L";"CS5L";"CS5L";"";"QS0011249719";"";"CS5L";"";"";"";"";"XPAR";"Euronext Paris";"7-12-2021 17:40:00";"Euronext Paris";"W. Europe Standard Time"
"2290675";"1000";"EUR";"BNP5L Index";"BNP5L";"BNP5L";"BNP5L";"";"QS0011249727";"";"BNP5L";"";"";"";"";"XPAR";"Euronext Paris";"7-12-2021 17:40:00";"Euronext Paris";"W. Europe Standard Time"
"2290676";"1000";"EUR";"EN5L";"EN5L";"EN5L";"EN5L";"";"QS0011249735";"";"EN5L";"";"";"";"";"XPAR";"Euronext Paris";"7-12-2021 17:40:00";"Euronext Paris";"W. Europe Standard Time"
"2290678";"1000";"EUR";"UG5L";"UG5L";"UG5L";"UG5L";"";"QS0011249776";"";"UG5L";"";"";"";"";"XPAR";"Euronext Paris";"7-12-2021 17:40:00";"Euronext Paris";"W. Europe Standard Time"
"951511";"1000";"EUR";"MXNL";"MXNL";"MXNL";"MXNL";"";"";"";"";"";"";"";"";"XAMS";"Euronext Amsterdam securities";"7-12-2021 17:40:00";"Euronext Amsterdam securities";"W. Europe Standard Time"
"909989";"1000";"EUR";"XNL08";"XNL08";"XNL08";"XNL08";"";"";"";"";"";"";"";"";"XAMS";"Euronext Amsterdam securities";"7-12-2021 17:40:00";"Euronext Amsterdam securities";"W. Europe Standard Time"
"145018";"1050";"USD";"EUR / USD";"EUR/USD";"US DOLLAR";"US DOLLAR";"";"";"EU0009652759";"";"";"";"";"";"-";"ForEx";"7-12-2021 23:59:59";"Indices";"W. Europe Standard Time"
