"FON_FONDSID";"DATUM";"KOERS";"KOERS";"KOERS";"KOERS";"OMZET"
"3830";"2003-08-13";"3388.55000";"3428.98000";"3376.30000";"3398.89000";"0"
"3830";"2003-08-14";"3398.13000";"3452.70000";"3379.50000";"3452.70000";"0"
"3830";"2003-08-15";"3449.56000";"3470.53000";"3434.23000";"3443.93000";"0"
"3830";"2003-08-18";"3447.58000";"3507.23000";"3447.58000";"3507.23000";"0"
"3830";"2003-08-19";"3511.05000";"3545.08000";"3486.44000";"3504.53000";"0"
"3830";"2003-08-20";"3507.25000";"3515.17000";"3461.38000";"3501.23000";"0"
"3830";"2003-08-21";"3501.41000";"3565.47000";"3501.41000";"3565.47000";"0"
"3830";"2003-08-22";"3563.30000";"3588.53000";"3534.42000";"3549.05000";"0"
"3830";"2003-08-25";"3547.65000";"3547.65000";"3489.77000";"3500.09000";"0"
"3830";"2003-08-26";"3498.89000";"3532.24000";"3438.86000";"3455.48000";"0"
"3830";"2003-08-27";"3462.16000";"3493.46000";"3451.81000";"3483.08000";"0"
"3830";"2003-08-28";"3486.37000";"3530.14000";"3465.68000";"3492.67000";"0"
"3830";"2003-08-29";"3510.32000";"3531.80000";"3479.92000";"3484.58000";"0"
"3830";"2003-09-01";"3493.34000";"3577.87000";"3493.34000";"3571.22000";"0"
"3830";"2003-09-02";"3570.09000";"3588.46000";"3536.26000";"3567.20000";"0"
"3830";"2003-09-03";"3570.25000";"3656.67000";"3570.25000";"3647.51000";"0"
"3830";"2003-09-04";"3638.92000";"3671.42000";"3628.95000";"3668.67000";"0"
"3830";"2003-09-05";"3671.93000";"3676.88000";"3597.59000";"3607.71000";"0"
"3830";"2003-09-08";"3612.85000";"3656.62000";"3612.39000";"3641.53000";"0"
"3830";"2003-09-09";"3645.88000";"3670.30000";"3583.37000";"3594.40000";"0"
"3830";"2003-09-10";"3586.80000";"3586.80000";"3524.17000";"3536.87000";"0"
"3830";"2003-09-11";"3525.50000";"3566.85000";"3495.11000";"3566.85000";"0"
"3830";"2003-09-12";"3564.55000";"3573.20000";"3473.79000";"3508.06000";"0"
"3830";"2003-09-15";"3512.28000";"3547.33000";"3506.38000";"3516.31000";"0"
"3830";"2003-09-16";"3522.81000";"3568.68000";"3508.87000";"3564.75000";"0"
"3830";"2003-09-17";"3573.29000";"3613.22000";"3551.81000";"3561.03000";"0"
